Route: /portal/shiftscheduling | Function: Add Shift Template | Execution Time: 0.00571751594543457 seconds
Route: /portal/shiftscheduling | Function: Add Shift Template | Execution Time: 0.0023660659790039062 seconds
Route: /portal/shiftscheduling | Function: Add Shift Template | Execution Time: 0.003700733184814453 seconds
Route: /portal/shiftscheduling | Function: Add Shift Template | Execution Time: 0.0020453929901123047 seconds
Route: /portal/shiftscheduling | Function: Add Shift Template | Execution Time: 0.002729177474975586 seconds
Route: /portal/shiftscheduling | Function: Delete Shift Template | Execution Time: 0.002137422561645508 seconds
Route: /portal/shiftscheduling | Function: Delete Shift Template | Execution Time: 0.0017004013061523438 seconds
Route: /portal/shiftscheduling | Function: Delete Shift Template | Execution Time: 0.0016179084777832031 seconds
Route: /portal/shiftscheduling | Function: Delete Shift Template | Execution Time: 0.0016033649444580078 seconds
Route: /portal/shiftscheduling | Function: Delete Shift Template | Execution Time: 0.0017304420471191406 seconds
Route: /portal/shiftscheduling | Function: Auto Schedule Shifts | Execution Time: 0.025189638137817383 seconds
Route: /portal/shiftscheduling | Function: Auto Schedule Shifts | Execution Time: 0.011847734451293945 seconds
Route: /portal/shiftscheduling | Function: Auto Schedule Shifts | Execution Time: 0.00915074348449707 seconds
Route: /portal/shiftscheduling | Function: Auto Schedule Shifts | Execution Time: 0.006281614303588867 seconds
Route: /portal/shiftscheduling | Function: Auto Schedule Shifts | Execution Time: 0.004896879196166992 seconds
Route: /portal/shiftscheduling | Function: Manual Add Shift | Execution Time: 0.005023002624511719 seconds
Route: /portal/shiftscheduling | Function: Manual Add Shift | Execution Time: 0.0017621517181396484 seconds
Route: /portal/shiftscheduling | Function: Manual Add Shift | Execution Time: 0.0018036365509033203 seconds
Route: /portal/shiftscheduling | Function: Manual Add Shift | Execution Time: 0.002119779586791992 seconds
Route: /portal/shiftscheduling | Function: Manual Add Shift | Execution Time: 0.0020246505737304688 seconds
Route: /portal/shiftscheduling | Function: Manual Delete Shift | Execution Time: 0.0021457672119140625 seconds
Route: /portal/shiftscheduling | Function: Manual Delete Shift | Execution Time: 0.0017256736755371094 seconds
Route: /portal/shiftscheduling | Function: Manual Delete Shift | Execution Time: 0.0020520687103271484 seconds
Route: /portal/shiftscheduling | Function: Manual Delete Shift | Execution Time: 0.002221822738647461 seconds
Route: /portal/shiftscheduling | Function: Manual Delete Shift | Execution Time: 0.002219676971435547 seconds
Route: /portal/shiftscheduling | Function: Accept Shift | Execution Time: 0.0017762184143066406 seconds
Route: /portal/shiftscheduling | Function: Accept Shift | Execution Time: 0.0020999908447265625 seconds
Route: /portal/shiftscheduling | Function: Accept Shift | Execution Time: 0.0016176700592041016 seconds
Route: /portal/shiftscheduling | Function: Accept Shift | Execution Time: 0.0018236637115478516 seconds
Route: /portal/shiftscheduling | Function: Accept Shift | Execution Time: 0.0027887821197509766 seconds
Route: /portal/shiftscheduling | Function: Decline Shift | Execution Time: 0.002328157424926758 seconds
Route: /portal/shiftscheduling | Function: Decline Shift | Execution Time: 0.0028738975524902344 seconds
Route: /portal/shiftscheduling | Function: Decline Shift | Execution Time: 0.0025017261505126953 seconds
Route: /portal/shiftscheduling | Function: Decline Shift | Execution Time: 0.0022280216217041016 seconds
Route: /portal/shiftscheduling | Function: Decline Shift | Execution Time: 0.0024089813232421875 seconds
Route: /portal/chat | Function: Message Group | Execution Time: 0.0018029212951660156 seconds
Route: /portal/chat | Function: Message Group | Execution Time: 0.0020923614501953125 seconds
Route: /portal/chat | Function: Message Group | Execution Time: 0.002438068389892578 seconds
Route: /portal/chat | Function: Message Group | Execution Time: 0.0021059513092041016 seconds
Route: /portal/chat | Function: Message Group | Execution Time: 0.001753091812133789 seconds
Route: /portal/chat | Function: Reply Group | Execution Time: 0.002271413803100586 seconds
Route: /portal/chat | Function: Reply Group | Execution Time: 0.00183868408203125 seconds
Route: /portal/chat | Function: Reply Group | Execution Time: 0.0028829574584960938 seconds
Route: /portal/chat | Function: Reply Group | Execution Time: 0.0016891956329345703 seconds
Route: /portal/chat | Function: Reply Group | Execution Time: 0.0020275115966796875 seconds
Route: /portal/chat | Function: Direct Message | Execution Time: 0.002241849899291992 seconds
Route: /portal/chat | Function: Direct Message | Execution Time: 0.0015790462493896484 seconds
Route: /portal/chat | Function: Direct Message | Execution Time: 0.0017919540405273438 seconds
Route: /portal/chat | Function: Direct Message | Execution Time: 0.002260446548461914 seconds
Route: /portal/chat | Function: Direct Message | Execution Time: 0.0023758411407470703 seconds
Route: /portal/chat | Function: Direct Message Reply | Execution Time: 0.0024938583374023438 seconds
Route: /portal/chat | Function: Direct Message Reply | Execution Time: 0.002509593963623047 seconds
Route: /portal/chat | Function: Direct Message Reply | Execution Time: 0.002434968948364258 seconds
Route: /portal/chat | Function: Direct Message Reply | Execution Time: 0.002130270004272461 seconds
Route: /portal/chat | Function: Direct Message Reply | Execution Time: 0.002560138702392578 seconds
Route: /portal/holidaybooking | Function: Make Holiday Request | Execution Time: 0.003849029541015625 seconds
Route: /portal/holidaybooking | Function: Make Holiday Request | Execution Time: 0.0002422332763671875 seconds
Route: /portal/holidaybooking | Function: Make Holiday Request | Execution Time: 0.0002532005310058594 seconds
Route: /portal/holidaybooking | Function: Make Holiday Request | Execution Time: 0.00022554397583007812 seconds
Route: /portal/holidaybooking | Function: Make Holiday Request | Execution Time: 0.0003211498260498047 seconds
Route: /portal/holidaybooking | Function: Approve Holiday Request | Execution Time: 0.005071401596069336 seconds
Route: /portal/holidaybooking | Function: Approve Holiday Request | Execution Time: 0.004671812057495117 seconds
Route: /portal/holidaybooking | Function: Approve Holiday Request | Execution Time: 0.0056133270263671875 seconds
Route: /portal/holidaybooking | Function: Approve Holiday Request | Execution Time: 0.015770912170410156 seconds
Route: /portal/holidaybooking | Function: Approve Holiday Request | Execution Time: 0.04343104362487793 seconds
Route: /portal/holidaybooking | Function: Deny Holiday Request | Execution Time: 0.002414703369140625 seconds
Route: /portal/holidaybooking | Function: Deny Holiday Request | Execution Time: 0.0023093223571777344 seconds
Route: /portal/holidaybooking | Function: Deny Holiday Request | Execution Time: 0.0018811225891113281 seconds
Route: /portal/holidaybooking | Function: Deny Holiday Request | Execution Time: 0.002324342727661133 seconds
Route: /portal/holidaybooking | Function: Deny Holiday Request | Execution Time: 0.0027892589569091797 seconds
Route: /portal/sales | Function: View Previous Week Sales | Execution Time: 0.02428603172302246 seconds
Route: /portal/sales | Function: View Previous Week Sales | Execution Time: 0.01765155792236328 seconds
Route: /portal/sales | Function: View Previous Week Sales | Execution Time: 0.020702123641967773 seconds
Route: /portal/sales | Function: View Previous Week Sales | Execution Time: 0.01768803596496582 seconds
Route: /portal/sales | Function: View Previous Week Sales | Execution Time: 0.018309354782104492 seconds
Route: /portal/sales | Function: View Next Week Sales | Execution Time: 0.019548892974853516 seconds
Route: /portal/sales | Function: View Next Week Sales | Execution Time: 0.01909947395324707 seconds
Route: /portal/sales | Function: View Next Week Sales | Execution Time: 0.018486738204956055 seconds
Route: /portal/sales | Function: View Next Week Sales | Execution Time: 0.020546674728393555 seconds
Route: /portal/sales | Function: View Next Week Sales | Execution Time: 0.018570899963378906 seconds
Route: /portal/sheets | Function: Request Employee Timesheet | Execution Time: 1.0684123039245605 seconds
Route: /portal/sheets | Function: Request Employee Timesheet | Execution Time: 1.0397634506225586 seconds
